text,intent_encoded,__index_level_0__,input_ids,attention_mask,labels,intent
This be Bella,8,25,"[  101  2023  2022 12101   102     0     0     0     0     0     0     0
     0     0     0     0]",[1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0],8,GreetingResponse
Who am I please,22,204,"[ 101 2040 2572 1045 3531  102    0    0    0    0    0    0    0    0
    0    0]",[1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0],22,WhoAmI
I americium Bella,8,27,"[  101  1045  2572 22420  5007 12101   102     0     0     0     0     0
     0     0     0     0]",[1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0],8,GreetingResponse
It is Adam,8,20,"[ 101 2009 2003 4205  102    0    0    0    0    0    0    0    0    0
    0    0]",[1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0],8,GreetingResponse
Retrieve the stopping_point three intents,15,293,"[  101 12850  1996  7458  1035  2391  2093  7848  2015   102     0     0
     0     0     0     0]",[1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0],15,RetrieveLastThree
Why will you not open the pod bay door,13,264,"[  101  2339  2097  2017  2025  2330  1996 17491  3016  2341   102     0
     0     0     0     0]",[1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0],13,PodBayDoorResponse
Not talking to you,11,130,"[ 101 2025 3331 2000 2017  102    0    0    0    0    0    0    0    0
    0    0]",[1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0],11,NotTalking2U
What's your real_number name?,14,91,"[ 101 2054 1005 1055 2115 2613 1035 2193 2171 1029  102    0    0    0
    0    0]",[1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0],14,RealNameQuery
What is your real name please?,14,88,"[ 101 2054 2003 2115 2613 2171 3531 1029  102    0    0    0    0    0
    0    0]",[1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0],14,RealNameQuery
Great thanks! I am Bella,3,56,"[  101  2307  4283   999  1045  2572 12101   102     0     0     0     0
     0     0     0     0]",[1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0],3,CourtesyGreetingResponse
Hola how are you?,2,36,"[ 101 7570 2721 2129 2024 2017 1029  102    0    0    0    0    0    0
    0    0]",[1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0],2,CourtesyGreeting
Do you know what time it is?,20,104,"[ 101 2079 2017 2113 2054 2051 2009 2003 1029  102    0    0    0    0
    0    0]",[1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0],20,TimeQuery
How about angstrom joke,9,237,"[  101  2129  2055 17076 15687  8257   102     0     0     0     0     0
     0     0     0     0]",[1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0],9,Jokes
Any gossip,6,228,"[  101  2151 13761   102     0     0     0     0     0     0     0     0
     0     0     0     0]",[1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0],6,Gossip
can you show the last three intents,15,297,"[ 101 2064 2017 2265 1996 2197 2093 7848 2015  102    0    0    0    0
    0    0]",[1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0],15,RetrieveLastThree
Tell me some more gossip,6,230,"[  101  2425  2033  2070  2062 13761   102     0     0     0     0     0
     0     0     0     0]",[1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0],6,Gossip
